??#.????#???.#?# 1,5,1,1,1
?##?##??#? 7,1
??????#???. 1,7
??#?#??#.?#.??#? 5,1,1,2
???????.??? 1,3
?#..##?##??###??#? 2,13
?.????????.???????? 1,5,1,6
?.???#???. 2,2
??#..#???#? 1,1,4
?.?##?????#??? 1,5,2,1
.???#?????##??#.? 3,8
?????????????.#.. 4,3,1
..#???????.? 4,3,1
????#??.?.#??? 7,3
#??#???##??.?? 4,1,3,2
??#?#?##?.???#??. 6,5
???.#??.??###?.#?? 3,1,5,2
?.????##??#?? 6,3
???..?##????.? 2,3,1
?.?#????.??#?#.? 1,2,1,3,1
?.?###.???? 4,2
?#???..??##? 4,3
???#????#?. 1,2,3
#???#???#??#???.? 1,10,1
???????????????????? 1,5,6,3
???????#??? 2,6
??.??.????.?#?????# 1,1,2,1,4,3
???#???.??#? 1,4,1,1
???#???##??##? 3,2,3
????.??????#?.#? 1,1,1,4,2
?.#??#???? 1,1,5
??##???#?.##??..? 4,2,4
??????#.????.# 4,2,1,1
??????#??#?.??? 2,7,1
.????????##.?.?.##? 5,2,1,1,2
.??????????#?#. 3,1,2,1
?????????????. 2,1,5
?##????#?.?????.#??? 2,1,2,3,3
?????????#?.?????#? 1,2,1,3,4,2
..?.#???.?##.? 1,3,2
.??????????????? 10,2
?.?#????#?.??? 1,1,2,2
??????.#??.?.? 1,1,1
#???#?#??#????? 1,2,1,5
???.?.??#????.? 3,6
.#.???###???.#?..??? 1,8,2,2
.???.??#????# 2,4,1
.????#?#?? 3,3,1
?###??#??## 4,2,2
??#?#???#???.??. 3,5,1
???####??##..?#.#.?? 9,2,1,1
??#?#???#.?. 5,1
???#????#???##?# 2,3,3,1
?#???????#???#??? 1,3,3,3,1
#???#????#.##..? 8,1,2
?????.?#?#??? 1,5
.??#.??#?.? 1,1,1
?#?#???#???.??? 1,1,4,1,3
.????#.?.#??? 1,1,2,1
.??#?.??#? 4,2
#????????. 1,4,1
??.#?#????#?...?? 1,8,2
?#.#?#.??##? 2,3,1,2
...??.?#?? 1,1
?.?.????#..? 1,2,1
?##????????.??.?#??? 6,1,1,4
?.??#.??.?.???? 3,2
.????.?????.???.?? 4,1,1,3,1
?????????##???????#? 2,1,1,2,2,2
???.?????.????? 2,3,5
???#??????.??#??.? 1,6,1,1,1
??##??????###??? 12,1
?.??.?????? 1,1,2
??#??????#?.. 2,5
???#####????. 1,8
.?#?##??????#??.???? 6,2,1
?.#??#???????#????? 1,1,12,1
??????????#.?..?##? 1,1,1,1,3,3
???????#???.??## 10,4
.?#????.?.???..? 1,1,2
.???#?#????? 2,2,1
#????#?.????##?#?# 1,5,1,5,1
???.##??????##??#? 1,2,8,2
??#????????????#? 6,7
????.??.#.?#?#? 1,1,1,1,4
??##?#??.#???? 6,1,4
?#?.?#????????#?. 3,2,4,3
..??????##?# 2,1,2,1
?????????.???? 4,1,1,1
.??#?????.?.?. 1,6,1
#.?#?#??????#??# 1,6,2,1,1
.#?.#.##??# 1,1,5
??#?????#?????? 5,4
.#??.?.?.? 2,1
.?#???##.????##?? 7,2
?#?.??????#??????# 1,8,3
?.#??#??.?#.. 4,1,1
?#?#?#??????? 7,1,1
?#???????? 6,1
????#..?#???##? 1,1,2,3
..?????#?###??.? 1,9,1
?##???.???#?# 4,4
??.??#???..??#? 1,2,1,3
#?#??????.??#?? 8,1,3
???#?##?#?? 2,6
.?.???#???.#?????? 1,3,1,5,1
